context_en,questions_en,answers_en,answer_start,answer_end
"Highlighting the potential for state and non-state actors to commit genocide in the 21st century, for example, in failing states or as non-state actors acquire weapons of mass destruction, Adrian Gallagher defined genocide as 'when mass The source of power (usually a state) intentionally uses its power base to implement a process of destruction to destroy a group (as defined by the perpetrator) in whole or in substantial part In, dependent on relative group size'. The definition maintains the centrality of intent, a multifaceted understanding of extermination, extending the definition of group identity beyond the 1948 definition, yet arguing that a substantial portion of a group must be exterminated before it can be exterminated. Whether it can be classified as genocide depends on the relative size of the group.",What definition extends beyond 1948 to the centrality of intention?,group identity,360,374
"Higher education systems, which are influenced by the French education system of the late 18th century, use terminology derived from references to the French École polytechnique. Such terms include Écoles Polytechniques (Algeria, Belgium, Canada, France, Switzerland, Tunisia), Escola Polytechnica (Brasil, Spain), Polytechnicum (Eastern Europe).",In which century in the history of France were the French École Polytechniques involved which influenced education systems in other countries?,18th,90,94
"Renewable energy accounted for 8% of the country's total energy consumption in 2008, an increase from 7%. Accounted for 2% in 2006, but below the EU average of 10% in 2008. 10% of the country's renewable energy comes from solar power, while the majority comes from biomass and waste recycling. In line with the European Commission's Directive on Renewable Energy, Greece aims to obtain 18% of its energy from renewable sources by 2020. And for several months in 2013, Greece produced more than 20% of its electricity from renewable energy sources and hydroelectric power plants. There are no nuclear power plants currently in operation in Greece, although in 2009 the Academy of Athens suggested that research begin into the possibility of Greek nuclear power plants.",Where does most of Greece's renewable energy come from?,Biomass and Waste Recycling,265,292
"In November 2003, she embarked on the Dangerously in Love Tour in Europe and later toured with Missy Elliott and Alicia Keys for the Verizon Women's First Tour in North America. On February 1, 2004, Beyoncé performed the US national anthem at Super Bowl XXXVIII at Reliant Stadium in Houston, Texas. Following the release of Dangerously in Love, Beyoncé planned to produce a follow-up album using the left-over tracks. However, it was put on hold so he could focus on Destiny completing the final studio album by Destiny's Child. Released on November 15, 2004, in the US and peaking at number two on the Billboard 200, Destiny accomplished that with the singles ""Losing My Breath"" and ""Soldier"", which reached the top five on the Billboard Hot 100 chart. Destiny's Child embarked on a worldwide concert tour, Destiny Fulfilled. And on June 11, 2005, during the last stop of their European tour in Barcelona, ​​Rowland announced that Destiny's Child would disband after the North American leg of the tour. The group released its first compilation album, No. 1 in the US, on October 25, 2005, and accepted a star on the Hollywood Walk of Fame in March 2006.","What major event did Beyoncé perform on February 1, 2004?",Super Bowl XXXVIII,243,261
"Much media attention on the season focused on three black singers, Fantasia Barino, LaToya London, and Jennifer Hudson, who were dubbed the Three Divas. All three unexpectedly landed in the bottom three on the top seven results show, with Hudson controversially eliminated. Elton John, who was among those attending that season, called the results of the vote ""incredibly racist."" Jon Stevens and Jasmine Trias' long feud, despite negative comments from the judges, had provoked negative comments from the judges, so much so that Jon Stevens received death threats, which he dismissed as a joke 'blown out of proportion'. Blow'.",Which season three contestant on American Idol was reported to have received death threats?,john stevens,280,292
"The first report of the abbey is based on a late tradition that a young fisherman named Aldrich on the River Thames saw a vision of St Peter near the site. This has been cited to justify the gifts of salmon from Thames fishermen that the abbey received in later years. In the present era, the fisherman's company still returns a salmon every year. The proven origin is that in the 960s or 970s, Saint Dunstan assisted King Edgar in establishing a community of Benedictine monks here.",Who was believed to have a vision of St. Peter on the River Thames?,eldritch,88,96
"Beyoncé Giselle Knowles was born in Houston, Texas, to Celestine Ann ""Tina"" Knowles (née 'Beyoncé), a hairdresser and salon owner, and Matthew Knowles, a Xerox sales manager. Beyoncé's name is a tribute to her mother's maiden name. Beyoncé's younger sister Solange is also a singer and former member of Destiny's Child. Matthew is African-American, while Tina is of Louisiana Creole descent (with African, Native American, French, Cajun, and distant Irish and Spanish ancestry). Through her mother, Beyoncé is a descendant of Acadian leader Joseph Broussard. She was raised in a Methodist household.",Beyoncé is a descendant of which Acadia leader?,Joseph Broussard,541,557
"The fourteenth season premiered on January 7, 2015. Ryan Seacrest returned to host, while Jennifer Lopez, Keith Urban and Harry Connick, JR. returned for their respective fourth, third and second seasons as judges. Eighth season runner-up Adam Lambert filled in for Urban during the New York City auditions. Randy Jackson did not return as an in-house consultant for this season.",What year did American Idol air its fourteenth season?,2015,46,50
"The Gray Cup was established in 1909 after being donated by Albert Grey, 4th Earl Grey, Governor General of Canada, as the Canadian rugby football championship for teams under the CRU. Initially an amateur competition, it eventually became dominated by professional teams in the 1940s and early 1950s. The Ontario Rugby Football Union, the last amateur organization to compete for the trophy, withdrew from competition in 1954. This move ushered in the modern era of Canadian professional football.",Who donated the championship trophy to Canadian football teams in 1909?,albert gray,4,15
"The Transat AG2R Race, held every alternate year, is an event that starts from Concarneau in Brittany, France and reaches Saint Barthélemy. It is a boat race consisting of boats up to 10 meters in length with a single hull and necessary safety equipment. Each boat is navigated by two sailors. Kitesurfing and other water sports have also become popular on the island in recent years, particularly kiteboarding at Grand Cul-de-Sac Beach (Baie de Grand Cul de Sac) and Saint Jean Beach (Baie de Saint Jean), For windy games as Lorient. , Tony and Anse des Cayes for surfing. Tennis is also popular on the island and there are several tennis clubs, Tennis Club de Flamboyant in the Grand Cul-de-Sac, AJO Tennis Club in Oriente and ASCO in Colombia.",What is the size requirement to enter an AG2R race?,10 meters,184,193
"The US Financial Crisis Inquiry Commission reported its findings in January 2011. It concluded that ""the crisis was avoidable and was caused by: widespread failures in financial regulation, including the Federal Reserve's failure to stem the tide of toxic mortgages; dramatic breakdowns in corporate governance involving too many financial firms that recklessly An explosive mix of excessive borrowing and risk taking by households that put the financial system on a collision course with a crisis that was unprepared for; What was lacking was a complete understanding of the financial system he observed; and systemic violations of accountability and ethics at all levels"".",when did u do it? When does the Financial Crisis Inquiry Commission report its findings?,January 2011,68,80
"Frédéric François Chopin (/ʃoʃpæn/; French pronunciation: ​[fʁe. ʁik f ʁɑ. swa ʃɔ. pɛ]; 22 February or 1 March 1810 – 17 October 1849), born Frédéric Francisque Chopin, [n1] was a Polish and French (by citizenship and birth of father) was a composer and a virtuoso pianist of the Romantic era, who wrote mainly for solo piano. He has maintained worldwide renown as one of the leading composers of his era and ""poetic genius was based on a professional technique that had no equal in his generation."" Chopin was born in the Duchy of Warsaw, and grew up in Warsaw. , which became part of Congress Poland after 1815. A child prodigy, he completed his musical education and reworked his earlier works in Warsaw before leaving Poland a month before the outbreak of the November 1830 Uprising.",Was Chopin active during the era?,romantic era,280,292
"According to data published by the American Pet Products Manufacturers Association in a 2009–2010 national pet owners survey, it is estimated that there are 77. 5 million people with pet dogs in the United States. The same survey found about 40% of American households have at least one dog, of which 67% have just one dog, 25% have two dogs, and about 9% have more than two dogs. There appears to be no gender preference among dogs as pets, as statistical data reveals an equal number of female and male dog pets. Yet, although many programs are in place to promote pet adoption, less than a fifth of owned dogs come from shelters.",How many people in the United States are called dog?,5 million,163,172
"In 1970 Margaret Thatcher became Secretary of State for Education of the new Conservative government. She ended up forcing local authorities to convert, however, many local authorities were so far down the path that it would be prohibitively expensive to attempt to reverse the process, and Mrs Thatcher did more than any other Education Secretary. More comprehensive schools were established under.",Who was made the Secretary of State for Education in 1970?,Margaret Thatcher,8,25
"Most of the differences in the revised budget deficit numbers were due to temporary changes in accounting practices by the new government, i. , recording expenditures when military material was ordered rather than received. However, it was the retrospective application of the ESA95 methodology (in force from 2000) that ultimately increased the reference year (1999) budget deficit to 3. 38% of GDP, thus exceeding the 3% limit. This led to claims that Greece (similar claims have been made about other European countries such as Italy) did not actually meet all five compliance criteria and the common belief that Greece had entered the Eurozone through ""mischievous"" deficit numbers. .",What other European countries made claims similar to those made against Greece?,Italy,531,536
"However, based on Mahayana, Tibeto-Mongolian Buddhism is one of the schools that practice Vajrayana or ""Diamond Vehicle"" (also called Mantrayana, Nerva, Tantricism, or esoteric Buddhism). It accepts all the basic concepts of Mahīyāla, but also includes a wide range of spiritual and physical techniques designed to enhance Buddhist practice. Tantric Buddhism is largely concerned with ritual and meditative practices. A component of Vajrayana is using psycho-physical energy through ritual, visualization, physical practice, and meditation as a means of developing the mind. Using these techniques, it is claimed that a practitioner can achieve Buddhahood in one lifetime, or even as little as three years. In the Tibetan tradition, these practices may include sexual yoga, although only for some very advanced practitioners.",What is the English word for Vajrayana?,diamond vehicle,15,30
"While the largest European American population in Montana is German, pockets of significant Scandinavian ancestry are prevalent in some of the farming-dominated northern and eastern prairie regions, parallel to nearby areas of North Dakota and Minnesota. Farmers of Irish, Scots, and English roots also settled in Montana. Western Montana's historically mining-oriented communities such as Butte have a wide range of European-American ethnicities; Finns, Eastern Europeans, and especially Irish settlers left an indelible mark on the area, as well as British mining areas such as People like Cornwall, Devon and Wales. The nearby town of Helena, also established as a mining camp, had a similar mix apart from a small Chinatown. Many of Montana's historic logging communities originally attracted people of Scottish, Scandinavian, Slavic, English, and Scots-Irish descent. [citation needed].",Was Helena originally founded?,a mining camp,47,60
"Brazil's Atlantic Forest is considered one such hotspot, containing approximately 20,000 plant species, 1,350 vertebrates, and millions of insects, about half of which occur nowhere else. [citation needed] Madagascar and the island of India are also particularly noteworthy. Colombia is characterized by high biodiversity, with the highest rate of species diversity by area unit worldwide and the largest number of species (species that do not occur naturally anywhere else) of any country. About 10% of the Earth's species can be found in Colombia, with over 1,900 species of birds, more than Europe and North America combined, Colombia has 10% of the world's mammalian species, 14% of the amphibian species, and 18% of the world's bird species. Madagascar's dry deciduous forests and lowland rainforest have a high proportion of endemism. [citation needed] Since the island separated from mainland Africa 66 million years ago, many species and ecosystems have evolved independently. [citation needed] Indonesia's 17,000 islands cover 735,355 square miles (1,904,560 km2) and contain 10% of the world's flowering plants, 12% of the mammals, and 17% of the reptiles, amphibians, and birds, with approximately 240 million individuals. Are included. Many areas of high biodiversity and/or endemism arise from specialized habitats that require unusual adaptations, for example, alpine environments in high mountains, or northern European peat bogs. [citation needed].",The island separated from mainland Africa 66 million years ago?,madagascar,206,216
"At the age of 21 he settled in Paris. After that, during the last 18 years of his life, he gave only some 30 public performances, preferring the more intimate environment of the salon. He supported himself by selling his compositions and selling pianos, for which he was in high demand. Chopin formed a friendship with Franz Liszt and was admired by many of his musical contemporaries, including Robert Schumann. In 1835 he obtained French citizenship. After his failed engagement to Maria Wodzińska from 1837 to 1847 he maintained an often troubled relationship with the French writer George Sand. A brief and unhappy trip to Majorca with Sand in 1838–39 was one of his most productive periods of composition. In her last years, she was financially supported by her admirer Jane Stirling, who also arranged for her to visit Scotland in 1848. Through most of his life, Chopin suffered from poor health. He died in Paris in 1849, probably of tuberculosis.",In which year did Chopin become a citizen of France?,1835,416,420
"The convention entered into force as international law on 12 January 1951 after a minimum of 20 countries became parties to it. At the time, only two of the five permanent members of the UN Security Council were parties to the treaty: France and the Republic of China. The Soviet Union in 1954, the United Kingdom in 1983, the People's Republic of China in 1983 (replacing the Taiwan-based Republic of China on the UNSC in 1971), and the United States in 1988. This long delay in support for the convention by the world's most powerful nations caused the convention to stall for more than four decades. Only in the 1990s was international law imposed on the crime of genocide.",Delays in support by some powerful members meant that the convention was largely powerful for how many decades?,Four,589,593
"On March 30, 2015, it was announced that Beyoncé was a co-owner, along with various other music artists, in the music streaming service Tidal. The service specializes in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired Tidal, Aspiro's parent company, in the first quarter of 2015. Beyoncé and Jay-Z co-own Tidal, including sixteen artist stakeholders (such as Kanye West, Rihanna, Madonna, Chris Martin, Nicki Minaj and more), with the majority owning a 3% equity stake. The idea of ​​having an all artist owned streaming service was included to adapt to the growing demand for streaming within the current music industry and to rival other streaming services such as Spotify, which have been criticized for low payments of royalties. ""The challenge is to respect the music again to recognize its value"", said Jay-Z upon the release of Tidal.","When was it revealed that Beyonce was a co-owner of the music service, Tidal?","March 30, 2015",3,17
"Śuddhodana was determined to see his son become king, so he prevented him from leaving the palace grounds. But at the age of 29, despite his father's efforts, Gautama ventured beyond the palace several times. In a series of encounters as four sites in Buddhist literature – he learned about the sufferings of common people, an old man, a sick man, a corpse and finally, an ascetic holy man, apparently content and at peace with the world. . These experiences inspired Gautama to leave royal life and take up spiritual pursuits.","How many ""sites"" of Gautama are well known?",Four,238,242
"In the late 1910s and early 1920s, Whitehead gradually turned his attention from mathematics to the philosophy of science and finally to metaphysics. He developed a comprehensive spiritual system that originally drew from Western philosophy. Whitehead argued that reality consists of processes rather than physical objects, and that processes are defined by their interactions with other processes, thus rejecting the theory that reality is fundamentally constructed by bits of matter. Which exist independently of each other. Today Whitehead's philosophical works – especially Process and Reality – are regarded as foundational texts of process philosophy.",Which of Whitehead's books is now considered the primary source of process philosophy?,process and reality,18,37
"Windows 8 introduced major changes to the operating system's platform and user interface to improve its user experience on tablets, where Windows was now competing with mobile operating systems including Android and iOS. Specifically, these changes included a touch-optimized Windows shell based on Microsoft's ""Metro"" design language, the Start Screen (which displays programs and dynamically updated content on a grid of tiles), an emphasis on the touchscreen. A new platform for developing apps with input, integration with online services (including the ability to sync apps and settings between devices), and the Windows Store, an online store for downloading and purchasing new software. Windows 8 added support for USB 3. 0, advanced format hard drives, near field communications, and cloud computing. Additional security features were introduced, such as built-in antivirus software, integration with the Microsoft SmartScreen phishing filtering service and support for UEFI Secure Boot on supported devices with UEFI firmware, to prevent infecting the boot process.",Which are Windows main operating system competitors?,Android and iOS,70,85
"British post-punk entered the 1980s with the support of members of the critical community—American critic Greene Marcus characterized ""Britain's postpunk pop avant-garde"" in a 1980 Rolling Stone article as containing ""tension, humor and This sense of contradiction is clearly seen in the unique ""present day pop music"" – in the form of media figures such as BBC DJ John Peel, while several groups, such as PiL and Joy Division, achieved some success in the popular charts. The label's network which included Industrial, Fast, E, Mute, Axis/4AD and Glass continued to facilitate a large output of music by artists such as Raincoat, Necessary Logic, Killing Joke, Teardrop Explosion, and Psychedelic Fur. kept.",Did popular DJs support the emergence of British post-punk?,bbc dj john peel,358,374
"Theravada is mainly practiced in Sri Lanka, Burma, Laos, Thailand, Cambodia, as well as in small parts of China, Vietnam, Malaysia and Bangladesh. It has a growing presence in the West.",Where is Theravada's growing presence?,West,180,184
"The subsequent 2005 elections were internationally considered the most free and fair in Liberian history. Ellen Johnson Sirleaf, a Harvard-trained economist and former finance minister, was elected as the first female president in Africa. Upon his inauguration, Sirleaf requested Taylor's extradition from Nigeria and transferred him to the SCSL for trial in The Hague. In 2006, the government established a Truth and Reconciliation Commission to address the causes and crimes of the civil war.",What were the 2005 elections called?,The most free and fair in Liberian history,88,130
"Cognitive anthropology seeks to explain shared knowledge, cultural innovation, and transmission across time and space using the methods and theories of the cognitive sciences (especially experimental psychology and evolutionary biology), often with the help of historians, ethnographers, archaeologists, linguists, Often through close collaboration with and other experts engaged in the description and interpretation of cultural forms. Cognitive anthropology is concerned with what different groups of people know and how this implicit knowledge makes sense of how people relate to the world around them.","Cognitive anthropologists want to know how people understand and relate to the world around them, in what ways?",implicit knowledge,47,65
"Describing his sixth studio album Yeezus (2013) as ""a protest against music"", West embraced an abrasive style that incorporated industrial music, acid house, dancehall, punk, electro and Chicago drill. Inspired by the minimalist designs of Le Corbusier and primarily electronic in nature, the album features distorted drum machines and ""synthesizers that sound like they're being screwed down, low-resolution samples that add a pixelated digital aura to the most analog sounds. To this end, the album has CD skips or corrupted MP3s, and the auto-tuned vocals are modulated to a point in which they are difficult to understand. It also continues West's practice of rivaling samples: he employs a sample of Nina Simone's ""Strange Fruit"", an obscure Hindi sample on ""I Am a God"", and a sample of 1970s Hungarian rock group Omega. Sample on ""The New Slave"". ""In the Holy Name of the Mary Coral Family"". Rolling Stone called the album a ""brilliant, obsessive-compulsive career auto-correct"".",In what year was Kanye West's sixth album released?,2013,41,45
"Several notable video game developers criticized Microsoft for making its Windows Store a closed platform subject to its own rules, as this conflicted with its idea of ​​the PC as an open platform. Marcus ""Pitcher"" Forson (inventor of the indie game Minecraft), Gabe Newell (co-founder of Valve Corporation and developer of the software distribution platform Steam), and Rob Parardo from Activision Blizzard raised concerns about the closed nature of the Windows Store. Worried. However, The Verge's Tom Warren said that Microsoft's addition was merely ""responding to the success of both Apple and Google in pursuing a curated application store approach.",Who created Minecraft?,"Marcus ""Pychar"" Forson",59,81
"The age of the Earth is approximately 4. 54 billion years old. The oldest undisputed evidence of life on Earth dates back to at least 3. More than 5 billion years ago, the geological crust began to solidify after the first molten Hessian Eon. Microbial mats found in 3 are fossils. 48 billion-year-old sandstone discovered in Western Australia. Other early physical evidence of biogenic matter is graphite in 3. 7 billion-year-old metasedimentary rocks discovered in western Greenland. More recently, in 2015, ""remains of biotic life"" were found in 4. 1 billion year old rocks in Western Australia. According to one of the researchers, ""If life arose relatively early on Earth, then it may have become common in the universe.",3. Where were 7 billion year old metasedimentary rocks discovered?,western greenland,326,343
"Chopin's relationship with Sand was cut short in 1846 by problems involving his daughter Solange and Solange's fiancé, the young fortune-hunting sculptor Auguste Clésinger. The musician often took Solange's side in her feud with her mother; he also faced jealousy from Sand's son, Maurice. Chopin was completely indifferent to Sand's radical political activities, while Sand viewed his society friends with contempt. As the composer's illness progressed, Sand became less of a lover and more of a nurse to Chopin, whom she called her ""third child"". In letters to third parties, she vented her impatience, referring to him as a ""child"", a ""little angel"", a ""sufferer"" and a ""dear little corpse."" In 1847 Sands published her novel Luczia Floriani. Kiya, whose main characters—a rich actress and a prince in frail health—can be interpreted as Sands and Chopin; The story was a disservice to Chopin, who could not remember Gopan as he helped Sands fix the printer's galleys. In 1847 he did not visit Nohant, and she quietly ended their ten-year relationship after an angry correspondence which, in Sand's words, ""brought an awkward conclusion to nine years of exclusive friendship."" The two would never meet again. .",The fate associated with the daughter of the sand was the hunter?,Auguste Klesinger,154,171
"All of Chopin's compositions involve piano. Most are for solo piano, although he also wrote two piano concertos, some chamber pieces, and some ballads for polish. His keyboard style is highly individual and often technically demanding; his own performances were noted for their perceptiveness and sensitivity. Chopin invented the concept of the instrumental ballad. His major piano works also include Mazurkas, Waltzes, Nocturnes, Polonaises, Études, Impromptus, Scherzos, Predudes and Sonatas, some published only after his death. Influences on his creative style include Polish folk music, the classical tradition of J. Bach, Mozart and Schubert, all of whose music he admired, as well as the Paris Salon where he was a frequent guest. Their innovations in style, musical form, and harmony, and their association with nationalism, were influential throughout and after the late Romantic period.",What instrument were Chopin's compositions written for?,the piano,37,46
"Baptism is required to be considered a member of Jehovah's Witnesses. Jehovah's Witnesses do not practice infant baptism, and previous baptisms performed by other denominations are not considered valid. Persons undergoing baptism must publicly affirm that the dedication and baptism must identify them ""as one of Jehovah's Witnesses in association with God's spirit-directed organization,"" although Witness publications say that baptism is a personal union with God. Symbolizes dedication and ""to a man, work, or organization."" Their literature emphasizes the need for members to be obedient and loyal to Jehovah and ""their organization"" [note 2] explains that individuals must seek God's favor. Must stay part of it to achieve and survive Armageddon.",What is required to be considered a member of Jehovah's Witnesses?,baptism,0,7
"In Japan, the mayor of Nagano, Shoichi Washizawa, said it had become a ""great nuisance"" for the city to host the torch relay before the Nagano leg. Washizawa's aide said the mayor's comments were not a criticism about the relay, but about the potential disruption and confusion surrounding it. A city employee at the Nagano City Office, which responded to the protests in Europe, said, ""They are doing something stupid"", in a television interview. Nagano City officially apologized later and explained that what it wanted to say was ""it was not easy to accept such violent protests"". Citing concerns about protests as well as recent violence in Tibet, a major Buddhist temple in Nagano canceled its plans to host the opening leg of the Olympic torch relay, the temple said in apparent revenge. After being taken, it was vandalized by an unidentified person.",What did he say about the opportunity for Nagano to host the torch event?,Great nuisance,71,85
"IndiMac loans are often made without verification of the borrower's income or assets, and to borrowers with poor credit histories. The valuations received by IndyMac on the underlying collateral were often questionable. As an alt-a lender, IndyMac's business model was to offer loan products to meet borrower needs, ranging from risky option-adjusted-rate mortgages (option arms), subprime loans, 80/20 loans, And using a wide range of other nontrade products. Eventually, the loans were given to many borrowers who simply could not afford to make their payments. The thrift remained profitable only insofar as it was able to sell those loans in the secondary mortgage market. IndiMac resisted efforts to control its participation in those loans or tighten its issuance criteria: see comments by Chief Risk Officer Ruthann Melbourne to regulatory agencies.",Did IndiMac offer these types of questionable loans to borrowers?,loaded dice,24,35
"Economic development in Swaziland has lagged behind its neighbors. Real GDP growth since 2001 has averaged 2.8%, about 2 percentage points lower than growth in other Southern African Customs Union (SACU) member countries. Low agricultural productivity, frequent droughts, the devastating effects of HIV/AIDS, and an overly large and inefficient government sector are potential contributing factors in SNL. Swaziland's public finances deteriorated in the late 1990s after running a massive surplus a decade earlier. The combination of declining revenues and increased spending resulted in a significant budget deficit.",How low is Swazi real GDP growth compared to other Southern African Customs Union members?,about 2 percentage points,113,138
"Anthropology is the study of humans and their societies in the past and present. Its main subdivisions are social anthropology and cultural anthropology, which describe the workings of societies around the world, linguistic anthropology, which examines the impact of language in social life, and biological or physical anthropology, which examines the functioning of human organisms. Is related to long-term development. Archaeology, which studies the past of human cultures through the examination of physical evidence, is considered a branch of anthropology in the United States, while in Europe, it is viewed as a discipline in its own right. Is, or is grouped under, other related subjects such as history.",What subject of anthropology is related to the long-term development of human science?,physical,310,318
"In September 2005, West announced that he would release his pastel clothing line in spring 2006, claiming ""Now that I have a Grammy under my belt and the late registrations are over, I'm looking forward to releasing my clothing line next."" Set to launch in the spring."" The line was developed over the following four years – with many pieces tinkered with by West – before the line was ultimately canceled in 2009. In 2009, West collaborated with Nike to release his own shoe, the Air Yeezy, with a second version released in 2012. In January 2009, West introduced his first shoe line designed for Louis Vuitton during Paris Fashion Week. The line was released in 2009. West has additionally designed sneakers for Bape and Italian shoemaker Giuseppe Zanotti.",What finally happened to Kanye's clothing line in 2009?,canceled,397,405
"Universities of Technology are academically similar to other (non-polytechnic) universities. Before the Bologna Process, M. (Tech.) required 180 credits, while the M. 160 credits were required from a normal university. Credits are comparable between universities of technology and general universities.",How many credits were required for M? (Tech? ) Degree before the Bologna Process?,180,141,144
"In 1535, the abbey had an annual income of £2400–2800 [citation needed] (ranging from £1,310,000 to £1,530,000), rendering it second in wealth only to Glastonbury Abbey during the assessment attendant on the Dissolution of the Monasteries.",What did the other person do with the money?,Assessment Attendant at the Dissolution of the Monasteries,180,238
"Since 1066, when Harold Godwinson and William the Conqueror were crowned, the regalia of English and British kings have been kept there. There have been at least 16 royal weddings in AB since 1100. Two kings (Henry I and Richard II) reigned, although, before 1919, there had been none for some 500 years.",Since when are coronations held at Westminster Abbey?,1066,6,10
"Austria was not able to recapture Silesia or make any significant territorial gains. However, this prevented Prussia from attacking parts of Saxony. More importantly, its military performance proved far superior during the War of the Austrian Succession and vindicated Maria Theresa's administrative and military reforms. Therefore, Austria's prestige was in great part restored and the empire secured its position as a major player in the European system. Furthermore, by promising to vote for Joseph II in the Imperial elections, Frederick II accepted the Habsburg Peninsula into the Holy Roman Empire. Prussia's survival as a first-rate power and the enhanced prestige of its king and its army, however, were harmed by Austria's long-term influence in Germany.",Frederick II promised to vote in Imperial elections?,By promising to vote for Joseph II in the Imperial elections.,473,534
